SOL,MINIMUM,MAXIMUM,MEDIAN,MEAN,MODE,STD
383,0.8,13.58,5.16,4.80857556142189,5.19,2.72095313464241
1114,1.24,23.18,1.98,4.19276302205539,1.31,3.6790520783252
881,0.77,13.14,1.64,3.10941966536783,1,2.85921679116627
1582,0.6,19.58,5.18,4.54732543562742,0.69,3.59880206435259
634,1.01,26.25,3.8,4.82304349613553,1.08,4.38784157900008
880,0.5,4.3,1.17,1.60059337459046,0.62,0.976799500951186
1352,0.63,21.68,1.44,3.10458791526796,0.7,3.33646751832697
382,0.79,18.14,6.46,5.11871592954489,1.19,3.25703511905397
1113,1.24,20.16,1.98,3.77376486046796,1.28,3.37527115199949
633,0.74,30.78,3.6,5.11064838401524,0.77,4.97295810128241

1351,0.62,18.4,2.19,3.50222275671859,1.17,3.01336199764838
872,0.47,11.83,0.94,2.3993198109872,0.53,2.53338996538301
632,0.81,29.93,2.61,5.59061412935318,0.86,5.35158674346415
1580,0.65,18.52,2.43,3.53474314089738,0.69,2.98344265981982
1112,1.13,21.83,2.06,4.49886572191895,1.31,3.92988452609184
871,0.56,11,1.4,1.82588555542684,0.67,1.32277806441412
631,0.82,33.19,1.55,4.69788090485694,1.4,5.66731275960587
1350,0.6,20.33,3.58,5.1817709542605,0.63,4.40443575547261
870,0.58,8.65,1.09,3.4726827320556,0.7,3.03169372127466
1579,0.75,18.53,4.76,5.63785684166128,1.12,4.43576545754249
380,0.75,17.6,4.59,4.80035902545642,0.8,3.0993849013001
1111,1.26,23.55,2.18,4.51026723557155,1.66,4.12848937578284
630,1.17,30.96,2.27,6.33166344134723,1.4,6.20728484472716
1349,0.68,21.25,2.22,4.35252434782609,1.05,4.03267874057756
869,0.6,11.46,0.99,1.91756890894175,0.89,2.14905754242513
1578,0.79,13.42,4.35,5.04765483253283,1.07,4.05783815969515
379,0.83,12.57,5.36,5.35785565222976,0.88,3.58826949618289
1110,1.21,19.96,2.22,4.79185453964197,1.62,4.36687400376899
629,1.05,29.29,5.51,6.68071737495299,1.13,5.54782621229279
1348,0.66,25.03,3.31,3.91427115811126,0.73,3.37909194515135
868,0.67,12.23,2.48,2.91299344220134,0.72,2.08736858836842
1577,0.72,15.63,5.88,6.0984626463774,0.9,4.1900690614705
378,0.91,11.58,6.33,5.2024356936416,1.45,2.89990835173839
628,1.02,35.7,3.19,5.23630154434011,1.08,5.49550860219331
1109,1.18,22.82,3.08,5.52615646476971,1.27,4.42927973068347
867,0.59,11.6,2.34,2.64375913043477,0.92,2.16040121281708
1576,0.59,20.68,2.14,3.60423399987467,0.74,3.60170566050453
